8,{BS},"'8' : '{BS}', "
9,{TAB},"'9' : '{TAB}', "
13,~,"'13' : '~', "
16,+,"'16' : '+', "
17,^,"'17' : '^', "
18,%,"'18' : '%', "
19,{BREAK},"'19' : '{BREAK}', "
20,{CAP},"'20' : '{CAP}', "
27,{ESC},"'27' : '{ESC}', "
32,{SPACE},"'32' : '{SPACE}', "
33,{PGUP},"'33' : '{PGUP}', "
34,{PGDN},"'34' : '{PGDN}', "
35,{END},"'35' : '{END}', "
36,{HOME},"'36' : '{HOME}', "
37,{LEFT},"'37' : '{LEFT}', "
38,{UP},"'38' : '{UP}', "
39,{RIGHT},"'39' : '{RIGHT}', "
40,{DOWN},"'40' : '{DOWN}', "
44,{PRTSC},"'44' : '{PRTSC}', "
45,{INS},"'45' : '{INS}', "
46,{DEL},"'46' : '{DEL}', "
47,{HELP},"'47' : '{HELP}', "
48,0,"'48' : '0', "
49,1,"'49' : '1', "
50,2,"'50' : '2', "
51,3,"'51' : '3', "
52,4,"'52' : '4', "
53,5,"'53' : '5', "
54,6,"'54' : '6', "
55,7,"'55' : '7', "
56,8,"'56' : '8', "
57,9,"'57' : '9', "
65,A,"'65' : 'A', "
66,B,"'66' : 'B', "
67,C,"'67' : 'C', "
68,D,"'68' : 'D', "
69,E,"'69' : 'E', "
70,F,"'70' : 'F', "
71,G,"'71' : 'G', "
72,H,"'72' : 'H', "
73,I,"'73' : 'I', "
74,J,"'74' : 'J', "
75,K,"'75' : 'K', "
76,L,"'76' : 'L', "
77,M,"'77' : 'M', "
78,N,"'78' : 'N', "
79,O,"'79' : 'O', "
80,P,"'80' : 'P', "
81,Q,"'81' : 'Q', "
82,R,"'82' : 'R', "
83,S,"'83' : 'S', "
84,T,"'84' : 'T', "
85,U,"'85' : 'U', "
86,V,"'86' : 'V', "
87,W,"'87' : 'W', "
88,X,"'88' : 'X', "
89,Y,"'89' : 'Y', "
90,Z,"'90' : 'Z', "
91,{LWIN},"'91' : '{LWIN}', "
92,{RWIN},"'92' : '{RWIN}', "
106,{MULTIPLY},"'106' : '{MULTIPLY}', "
107,{ADD},"'107' : '{ADD}', "
109,{SUBTRACT},"'109' : '{SUBTRACT}', "
111,{DIVIDE},"'111' : '{DIVIDE}', "
112,{F1},"'112' : '{F1}', "
113,{F2},"'113' : '{F2}', "
114,{F3},"'114' : '{F3}', "
115,{F4},"'115' : '{F4}', "
116,{F5},"'116' : '{F5}', "
117,{F6},"'117' : '{F6}', "
118,{F7},"'118' : '{F7}', "
119,{F8},"'119' : '{F8}', "
120,{F9},"'120' : '{F9}', "
121,{F10},"'121' : '{F10}', "
122,{F11},"'122' : '{F11}', "
123,{F12},"'123' : '{F12}', "
124,{F13},"'124' : '{F13}', "
125,{F14},"'125' : '{F14}', "
126,{F15},"'126' : '{F15}', "
127,{F16},"'127' : '{F16}', "
128,{F17},"'128' : '{F17}', "
129,{F18},"'129' : '{F18}', "
130,{F19},"'130' : '{F19}', "
131,{F20},"'131' : '{F20}', "
132,{F21},"'132' : '{F21}', "
133,{F22},"'133' : '{F22}', "
134,{F23},"'134' : '{F23}', "
135,{F24},"'135' : '{F24}', "
144,{NUMLOCK},"'144' : '{NUMLOCK}', "
145,{SCROLLLOCK},"'145' : '{SCROLLLOCK}', "
160,+,"'160' : '+', "
161,+,"'161' : '+', "
162,^,"'162' : '^', "
163,^,"'163' : '^', "
164,%,"'164' : '%', "
165,%,"'165' : '%', "
186,;,"'186' : ';', "
187,=,"'187' : '=', "
188,",","'188' : ',', "
189,-,"'189' : '-', "
190,.,"'190' : '.', "
191,/,"'191' : '/', "
192,`,"'192' : '`', "
219,[,"'219' : '[', "
220,\,"'220' : '\', "
221,],"'221' : ']', "
222,',"'222' : ''', "
